Date,Open,High,Low,Close,Adj Close,Volume
2017-11-11,19455.863281,20815.558594,19430.189453,20504.613281,20504.613281,54884332639
2017-11-12,20505.201172,20796.009766,19451.107422,20063.285156,20063.285156,105134352629
2017-11-13,20005.748047,21399.521484,20005.748047,20722.728516,20722.728516,68170861653
2017-11-14,20725.802734,22287.546875,20725.802734,22081.068359,22081.068359,69957072000
2017-11-15,22102.845703,22277.746094,21523.595703,21754.876953,21754.876953,47161182116
2017-11-16,21760.490234,21957.906250,21105.582031,21606.029297,21606.029297,52052714705
2017-11-17,21556.603516,21776.009766,21292.271484,21608.935547,21608.935547,40418861810
2017-11-18,21582.021484,22728.535156,21302.933594,22598.255859,22598.255859,42233029830
2017-11-19,22584.539063,24137.626953,22411.546875,23038.632813,23038.632813,76811264260
2017-11-20,23019.650391,24224.257813,22967.318359,23872.291016,23872.291016,52533423086
2017-11-21,23918.701172,24245.935547,22799.427734,23379.212891,23379.212891,61620791440
2017-11-22,23373.439453,24742.716797,23362.736328,24692.896484,24692.896484,51949129049
2017-11-23,24743.947266,27471.251953,24396.830078,26478.265625,26478.265625,119147872400
2017-11-24,26629.001953,31104.523438,26000.042969,30712.494141,30712.494141,148277312996
2017-11-25,30761.966797,31377.365234,29816.298828,30154.068359,30154.068359,91965913600
2017-11-26,30134.539063,30570.996094,29205.359375,30480.910156,30480.910156,77460430531
2017-11-27,30493.910156,31923.302734,30253.589844,30969.687500,30969.687500,90034556800
2017-11-28,30980.197266,31106.693359,30037.410156,30454.888672,30454.888672,86714597939
2017-11-29,30479.296875,33589.562500,27353.320313,27511.105469,27511.105469,172196745178
2017-11-30,27748.685547,30029.212891,25865.126953,28829.912109,28829.912109,122708019200
2017-12-01,28707.078125,30488.007813,27617.558594,30096.496094,30096.496094,80500734671
2017-12-02,30116.558594,30722.179688,29458.685547,29897.095703,29897.095703,60874860468
2017-12-03,29913.609375,31146.330078,29148.972656,30052.177734,30052.177734,63900831554
2017-12-04,30065.142578,30556.648438,29187.853516,30267.031250,30267.031250,64727254530
2017-12-05,30272.824219,30499.503906,29464.150391,29812.132813,29812.132813,78295932000
2017-12-06,29768.568359,29775.259766,27111.949219,27652.498047,27652.498047,128927733135
2017-12-07,27509.326172,28478.935547,26758.519531,28045.378906,28045.378906,137485042299
2017-12-08,28082.890625,30028.375000,27268.013672,29400.318359,29400.318359,150626412410
2017-12-09,29484.966797,32502.357422,29414.630859,30526.675781,30526.675781,129188208468
2017-12-10,30480.707031,30480.707031,27690.767578,28477.753906,28477.753906,90527482537
2017-12-11,28389.880859,33266.953125,28309.035156,33149.000000,33149.000000,113992164000
2017-12-12,33609.105469,42331.277344,32464.187500,41952.160156,41952.160156,333581036543
2017-12-13,41531.945313,48211.886719,38498.191406,45293.335938,45293.335938,291606596813
2017-12-14,45153.281250,48433.210938,42802.019531,44761.843750,44761.843750,245842243458
2017-12-15,44797.867188,44644.335938,39952.851563,43852.582031,43852.582031,176750550726
2017-12-16,43964.324219,46026.925781,43617.960938,44606.109375,44606.109375,138755765476
2017-12-17,44607.906250,47144.308594,44607.906250,46128.796875,46128.796875,137583274225
2017-12-18,46241.367188,51612.175781,44159.031250,51016.210938,51016.210938,208600571137
2017-12-19,50968.445313,56464.257813,50418.957031,52958.011719,52958.011719,262384020327
2017-12-20,53002.398438,54176.925781,48422.058594,52511.601563,52511.601563,254512851348
2017-12-21,52585.332031,56447.210938,50747.953125,52556.242188,52556.242188,228455536744
2017-12-22,52657.378906,52979.988281,34808.925781,43197.789063,43197.789063,318623222220
2017-12-23,43611.035156,48896.921875,43509.582031,46047.964844,46047.964844,158766561351
